serialNumber,imeiNumber,productName,supplierLicenseNumber,categoryName,status
SN000074,IMEI00000000000074,Google Pixel 8,LIC008,Electronics,ORDER_UNPLACED
SN000075,IMEI00000000000075,Google Pixel 8,LIC008,Electronics,ORDER_UNPLACED
SN000076,IMEI00000000000076,Google Pixel 8,LIC008,Electronics,ORDER_UNPLACED
SN000077,IMEI00000000000077,Google Pixel 8,LIC008,Electronics,ORDER_UNPLACED
SN000078,IMEI00000000000078,Google Pixel 8,LIC008,Electronics,ORDER_UNPLACED
SN000079,IMEI00000000000079,Google Pixel 8,LIC008,Electronics,ORDER_UNPLACED
SN000080,IMEI00000000000080,Google Pixel 8,LIC008,Electronics,ORDER_UNPLACED
SN000081,IMEI00000000000081,ASUS ROG Laptop,LIC009,Electronics,ORDER_UNPLACED
SN000082,IMEI00000000000082,ASUS ROG Laptop,LIC009,Electronics,ORDER_UNPLACED
SN000083,IMEI00000000000083,ASUS ROG Laptop,LIC009,Electronics,ORDER_UNPLACED
SN000084,IMEI00000000000084,ASUS ROG Laptop,LIC009,Electronics,ORDER_UNPLACED
SN000085,IMEI00000000000085,ASUS ROG Laptop,LIC009,Electronics,ORDER_UNPLACED
SN000086,IMEI00000000000086,ASUS ROG Laptop,LIC009,Electronics,ORDER_UNPLACED
SN000087,IMEI00000000000087,ASUS ROG Laptop,LIC009,Electronics,ORDER_UNPLACED
SN000088,IMEI00000000000088,ASUS ROG Laptop,LIC009,Electronics,ORDER_UNPLACED
SN000089,IMEI00000000000089,ASUS ROG Laptop,LIC009,Electronics,ORDER_UNPLACED
SN000090,IMEI00000000000090,ASUS ROG Laptop,LIC009,Electronics,ORDER_UNPLACED
SN000091,IMEI00000000000091,Apple Watch Series 9,LIC010,Electronics,ORDER_UNPLACED
SN000092,IMEI00000000000092,Apple Watch Series 9,LIC010,Electronics,ORDER_UNPLACED
SN000093,IMEI00000000000093,Apple Watch Series 9,LIC010,Electronics,ORDER_UNPLACED
SN000094,IMEI00000000000094,Apple Watch Series 9,LIC010,Electronics,ORDER_UNPLACED
SN000095,IMEI00000000000095,Apple Watch Series 9,LIC010,Electronics,ORDER_UNPLACED
SN000096,IMEI00000000000096,Apple Watch Series 9,LIC010,Electronics,ORDER_UNPLACED
SN000097,IMEI00000000000097,Apple Watch Series 9,LIC010,Electronics,ORDER_UNPLACED
SN000098,IMEI00000000000098,Apple Watch Series 9,LIC010,Electronics,ORDER_UNPLACED
SN000099,IMEI00000000000099,Apple Watch Series 9,LIC010,Electronics,ORDER_UNPLACED
SN000100,IMEI00000000000100,Apple Watch Series 9,LIC010,Electronics,ORDER_UNPLACED
SN000101,IMEI00000000000101,Bose QuietComfort,LIC011,Electronics,ORDER_UNPLACED
SN000102,IMEI00000000000102,Bose QuietComfort,LIC011,Electronics,ORDER_UNPLACED
SN000103,IMEI00000000000103,Bose QuietComfort,LIC011,Electronics,ORDER_UNPLACED
SN000104,IMEI00000000000104,Bose QuietComfort,LIC011,Electronics,ORDER_UNPLACED
SN000105,IMEI00000000000105,Bose QuietComfort,LIC011,Electronics,ORDER_UNPLACED
SN000106,IMEI00000000000106,Bose QuietComfort,LIC011,Electronics,ORDER_UNPLACED
SN000107,IMEI00000000000107,Bose QuietComfort,LIC011,Electronics,ORDER_UNPLACED
SN000108,IMEI00000000000108,Bose QuietComfort,LIC011,Electronics,ORDER_UNPLACED
SN000109,IMEI00000000000109,Bose QuietComfort,LIC011,Electronics,ORDER_UNPLACED
SN000110,IMEI00000000000110,Bose QuietComfort,LIC011,Electronics,ORDER_UNPLACED
SN000111,IMEI00000000000111,Logitech MX Master 3,LIC012,Electronics,ORDER_UNPLACED
SN000112,IMEI00000000000112,Logitech MX Master 3,LIC012,Electronics,ORDER_UNPLACED
SN000113,IMEI00000000000113,Logitech MX Master 3,LIC012,Electronics,ORDER_UNPLACED
SN000114,IMEI00000000000114,Logitech MX Master 3,LIC012,Electronics,ORDER_UNPLACED
SN000115,IMEI00000000000115,Logitech MX Master 3,LIC012,Electronics,ORDER_UNPLACED
SN000116,IMEI00000000000116,Logitech MX Master 3,LIC012,Electronics,ORDER_UNPLACED
SN000117,IMEI00000000000117,Logitech MX Master 3,LIC012,Electronics,ORDER_UNPLACED
SN000118,IMEI00000000000118,Logitech MX Master 3,LIC012,Electronics,ORDER_UNPLACED
SN000119,IMEI00000000000119,Logitech MX Master 3,LIC012,Electronics,ORDER_UNPLACED
SN000120,IMEI00000000000120,Logitech MX Master 3,LIC012,Electronics,ORDER_UNPLACED
SN000121,,Nike Air Max 270,LIC013,Clothing,ORDER_UNPLACED
SN000122,,Nike Air Max 270,LIC013,Clothing,ORDER_UNPLACED
SN000123,,Nike Air Max 270,LIC013,Clothing,ORDER_UNPLACED
SN000124,,Nike Air Max 270,LIC013,Clothing,ORDER_UNPLACED
SN000125,,Nike Air Max 270,LIC013,Clothing,ORDER_UNPLACED
SN000126,,Nike Air Max 270,LIC013,Clothing,ORDER_UNPLACED
SN000127,,Nike Air Max 270,LIC013,Clothing,ORDER_UNPLACED
SN000128,,Nike Air Max 270,LIC013,Clothing,ORDER_UNPLACED
SN000129,,Nike Air Max 270,LIC013,Clothing,ORDER_UNPLACED
SN000130,,Nike Air Max 270,LIC013,Clothing,ORDER_UNPLACED
SN000131,,Adidas Ultraboost 23,LIC014,Clothing,ORDER_UNPLACED
SN000132,,Adidas Ultraboost 23,LIC014,Clothing,ORDER_UNPLACED
SN000133,,Adidas Ultraboost 23,LIC014,Clothing,ORDER_UNPLACED
SN000134,,Adidas Ultraboost 23,LIC014,Clothing,ORDER_UNPLACED
SN000135,,Adidas Ultraboost 23,LIC014,Clothing,ORDER_UNPLACED
SN000136,,Adidas Ultraboost 23,LIC014,Clothing,ORDER_UNPLACED
SN000137,,Adidas Ultraboost 23,LIC014,Clothing,ORDER_UNPLACED
SN000138,,Adidas Ultraboost 23,LIC014,Clothing,ORDER_UNPLACED
SN000139,,Adidas Ultraboost 23,LIC014,Clothing,ORDER_UNPLACED
SN000140,,Adidas Ultraboost 23,LIC014,Clothing,ORDER_UNPLACED
SN000141,,Levi's 501 Jeans,LIC015,Clothing,ORDER_UNPLACED
SN000142,,Levi's 501 Jeans,LIC015,Clothing,ORDER_UNPLACED
SN000143,,Levi's 501 Jeans,LIC015,Clothing,ORDER_UNPLACED
SN000144,,Levi's 501 Jeans,LIC015,Clothing,ORDER_UNPLACED
SN000145,,Levi's 501 Jeans,LIC015,Clothing,ORDER_UNPLACED
SN000146,,Levi's 501 Jeans,LIC015,Clothing,ORDER_UNPLACED
SN000147,,Levi's 501 Jeans,LIC015,Clothing,ORDER_UNPLACED
SN000148,,Levi's 501 Jeans,LIC015,Clothing,ORDER_UNPLACED
SN000149,,Levi's 501 Jeans,LIC015,Clothing,ORDER_UNPLACED
SN000150,,Levi's 501 Jeans,LIC015,Clothing,ORDER_UNPLACED
SN000151,,H&M Cotton T-Shirt,LIC016,Clothing,ORDER_UNPLACED
SN000152,,H&M Cotton T-Shirt,LIC016,Clothing,ORDER_UNPLACED
SN000153,,H&M Cotton T-Shirt,LIC016,Clothing,ORDER_UNPLACED
SN000154,,H&M Cotton T-Shirt,LIC016,Clothing,ORDER_UNPLACED
SN000155,,H&M Cotton T-Shirt,LIC016,Clothing,ORDER_UNPLACED
SN000156,,H&M Cotton T-Shirt,LIC016,Clothing,ORDER_UNPLACED
SN000157,,H&M Cotton T-Shirt,LIC016,Clothing,ORDER_UNPLACED
SN000158,,H&M Cotton T-Shirt,LIC016,Clothing,ORDER_UNPLACED
SN000159,,H&M Cotton T-Shirt,LIC016,Clothing,ORDER_UNPLACED
SN000160,,H&M Cotton T-Shirt,LIC016,Clothing,ORDER_UNPLACED
SN000161,,Zara Summer Dress,LIC017,Clothing,ORDER_UNPLACED
SN000162,,Zara Summer Dress,LIC017,Clothing,ORDER_UNPLACED
SN000163,,Zara Summer Dress,LIC017,Clothing,ORDER_UNPLACED
SN000164,,Zara Summer Dress,LIC017,Clothing,ORDER_UNPLACED
SN000165,,Zara Summer Dress,LIC017,Clothing,ORDER_UNPLACED
SN000166,,Zara Summer Dress,LIC017,Clothing,ORDER_UNPLACED
SN000167,,Zara Summer Dress,LIC017,Clothing,ORDER_UNPLACED
SN000168,,Zara Summer Dress,LIC017,Clothing,ORDER_UNPLACED
SN000169,,Zara Summer Dress,LIC017,Clothing,ORDER_UNPLACED
SN000170,,Zara Summer Dress,LIC017,Clothing,ORDER_UNPLACED
SN000171,,Uniqlo Merino Wool Sweater,LIC018,Clothing,ORDER_UNPLACED
SN000172,,Uniqlo Merino Wool Sweater,LIC018,Clothing,ORDER_UNPLACED
SN000173,,Uniqlo Merino Wool Sweater,LIC018,Clothing,ORDER_UNPLACED
SN000174,,Uniqlo Merino Wool Sweater,LIC018,Clothing,ORDER_UNPLACED
SN000175,,Uniqlo Merino Wool Sweater,LIC018,Clothing,ORDER_UNPLACED
SN000176,,Uniqlo Merino Wool Sweater,LIC018,Clothing,ORDER_UNPLACED
SN000177,,Uniqlo Merino Wool Sweater,LIC018,Clothing,ORDER_UNPLACED
SN000178,,Uniqlo Merino Wool Sweater,LIC018,Clothing,ORDER_UNPLACED
SN000179,,Uniqlo Merino Wool Sweater,LIC018,Clothing,ORDER_UNPLACED
SN000180,,Uniqlo Merino Wool Sweater,LIC018,Clothing,ORDER_UNPLACED
SN000181,,Gap Hoodie,LIC019,Clothing,ORDER_UNPLACED
SN000182,,Gap Hoodie,LIC019,Clothing,ORDER_UNPLACED
SN000183,,Gap Hoodie,LIC019,Clothing,ORDER_UNPLACED
SN000184,,Gap Hoodie,LIC019,Clothing,ORDER_UNPLACED
SN000185,,Gap Hoodie,LIC019,Clothing,ORDER_UNPLACED
SN000186,,Gap Hoodie,LIC019,Clothing,ORDER_UNPLACED
SN000187,,Gap Hoodie,LIC019,Clothing,ORDER_UNPLACED
SN000188,,Gap Hoodie,LIC019,Clothing,ORDER_UNPLACED
SN000189,,Gap Hoodie,LIC019,Clothing,ORDER_UNPLACED
SN000190,,Gap Hoodie,LIC019,Clothing,ORDER_UNPLACED
SN000191,,Tommy Hilfiger Polo,LIC020,Clothing,ORDER_UNPLACED
SN000192,,Tommy Hilfiger Polo,LIC020,Clothing,ORDER_UNPLACED
SN000193,,Tommy Hilfiger Polo,LIC020,Clothing,ORDER_UNPLACED
SN000194,,Tommy Hilfiger Polo,LIC020,Clothing,ORDER_UNPLACED
SN000195,,Tommy Hilfiger Polo,LIC020,Clothing,ORDER_UNPLACED
SN000196,,Tommy Hilfiger Polo,LIC020,Clothing,ORDER_UNPLACED
SN000197,,Tommy Hilfiger Polo,LIC020,Clothing,ORDER_UNPLACED
SN000198,,Tommy Hilfiger Polo,LIC020,Clothing,ORDER_UNPLACED
SN000199,,Tommy Hilfiger Polo,LIC020,Clothing,ORDER_UNPLACED
SN000200,,Tommy Hilfiger Polo,LIC020,Clothing,ORDER_UNPLACED
SN000201,,Calvin Klein Underwear Set,LIC001,Clothing,ORDER_UNPLACED
SN000202,,Calvin Klein Underwear Set,LIC001,Clothing,ORDER_UNPLACED
SN000203,,Calvin Klein Underwear Set,LIC001,Clothing,ORDER_UNPLACED
SN000204,,Calvin Klein Underwear Set,LIC001,Clothing,ORDER_UNPLACED
SN000205,,Calvin Klein Underwear Set,LIC001,Clothing,ORDER_UNPLACED
SN000206,,Calvin Klein Underwear Set,LIC001,Clothing,ORDER_UNPLACED
SN000207,,Calvin Klein Underwear Set,LIC001,Clothing,ORDER_UNPLACED
SN000208,,Calvin Klein Underwear Set,LIC001,Clothing,ORDER_UNPLACED
SN000209,,Calvin Klein Underwear Set,LIC001,Clothing,ORDER_UNPLACED
SN000210,,Calvin Klein Underwear Set,LIC001,Clothing,ORDER_UNPLACED
SN000211,,Old Navy Joggers,LIC002,Clothing,ORDER_UNPLACED
SN000212,,Old Navy Joggers,LIC002,Clothing,ORDER_UNPLACED
SN000213,,Old Navy Joggers,LIC002,Clothing,ORDER_UNPLACED
SN000214,,Old Navy Joggers,LIC002,Clothing,ORDER_UNPLACED
SN000215,,Old Navy Joggers,LIC002,Clothing,ORDER_UNPLACED
SN000216,,Old Navy Joggers,LIC002,Clothing,ORDER_UNPLACED
SN000217,,Old Navy Joggers,LIC002,Clothing,ORDER_UNPLACED
SN000218,,Old Navy Joggers,LIC002,Clothing,ORDER_UNPLACED
SN000219,,Old Navy Joggers,LIC002,Clothing,ORDER_UNPLACED
SN000220,,Old Navy Joggers,LIC002,Clothing,ORDER_UNPLACED
SN000221,,IKEA KIVIK Sofa,LIC003,Home & Garden,ORDER_UNPLACED
SN000222,,IKEA KIVIK Sofa,LIC003,Home & Garden,ORDER_UNPLACED
SN000223,,IKEA KIVIK Sofa,LIC003,Home & Garden,ORDER_UNPLACED
SN000224,,IKEA KIVIK Sofa,LIC003,Home & Garden,ORDER_UNPLACED
SN000225,,IKEA KIVIK Sofa,LIC003,Home & Garden,ORDER_UNPLACED
SN000226,,IKEA KIVIK Sofa,LIC003,Home & Garden,ORDER_UNPLACED
SN000227,,IKEA KIVIK Sofa,LIC003,Home & Garden,ORDER_UNPLACED
SN000228,,IKEA KIVIK Sofa,LIC003,Home & Garden,ORDER_UNPLACED
SN000229,,IKEA KIVIK Sofa,LIC003,Home & Garden,ORDER_UNPLACED
SN000230,,IKEA KIVIK Sofa,LIC003,Home & Garden,ORDER_UNPLACED
SN000231,,West Elm Dining Table,LIC004,Home & Garden,ORDER_UNPLACED
SN000232,,West Elm Dining Table,LIC004,Home & Garden,ORDER_UNPLACED
SN000233,,West Elm Dining Table,LIC004,Home & Garden,ORDER_UNPLACED
SN000234,,West Elm Dining Table,LIC004,Home & Garden,ORDER_UNPLACED
SN000235,,West Elm Dining Table,LIC004,Home & Garden,ORDER_UNPLACED
SN000236,,West Elm Dining Table,LIC004,Home & Garden,ORDER_UNPLACED
SN000237,,West Elm Dining Table,LIC004,Home & Garden,ORDER_UNPLACED
SN000238,,West Elm Dining Table,LIC004,Home & Garden,ORDER_UNPLACED
SN000239,,West Elm Dining Table,LIC004,Home & Garden,ORDER_UNPLACED
SN000240,,West Elm Dining Table,LIC004,Home & Garden,ORDER_UNPLACED
SN000241,,Philips Air Fryer,LIC005,Home & Garden,ORDER_UNPLACED
SN000242,,Philips Air Fryer,LIC005,Home & Garden,ORDER_UNPLACED
SN000243,,Philips Air Fryer,LIC005,Home & Garden,ORDER_UNPLACED
SN000244,,Philips Air Fryer,LIC005,Home & Garden,ORDER_UNPLACED
SN000245,,Philips Air Fryer,LIC005,Home & Garden,ORDER_UNPLACED
SN000246,,Philips Air Fryer,LIC005,Home & Garden,ORDER_UNPLACED
SN000247,,Philips Air Fryer,LIC005,Home & Garden,ORDER_UNPLACED
SN000248,,Philips Air Fryer,LIC005,Home & Garden,ORDER_UNPLACED
SN000249,,Philips Air Fryer,LIC005,Home & Garden,ORDER_UNPLACED
SN000250,,Philips Air Fryer,LIC005,Home & Garden,ORDER_UNPLACED
SN000251,,Bosch Drill Set,LIC006,Home & Garden,ORDER_UNPLACED
SN000252,,Bosch Drill Set,LIC006,Home & Garden,ORDER_UNPLACED
SN000253,,Bosch Drill Set,LIC006,Home & Garden,ORDER_UNPLACED
SN000254,,Bosch Drill Set,LIC006,Home & Garden,ORDER_UNPLACED
SN000255,,Bosch Drill Set,LIC006,Home & Garden,ORDER_UNPLACED
SN000256,,Bosch Drill Set,LIC006,Home & Garden,ORDER_UNPLACED
SN000257,,Bosch Drill Set,LIC006,Home & Garden,ORDER_UNPLACED
SN000258,,Bosch Drill Set,LIC006,Home & Garden,ORDER_UNPLACED
SN000259,,Bosch Drill Set,LIC006,Home & Garden,ORDER_UNPLACED
SN000260,,Bosch Drill Set,LIC006,Home & Garden,ORDER_UNPLACED
SN000261,,Wayfair Bookshelf,LIC007,Home & Garden,ORDER_UNPLACED
SN000262,,Wayfair Bookshelf,LIC007,Home & Garden,ORDER_UNPLACED
SN000263,,Wayfair Bookshelf,LIC007,Home & Garden,ORDER_UNPLACED
SN000264,,Wayfair Bookshelf,LIC007,Home & Garden,ORDER_UNPLACED
SN000265,,Wayfair Bookshelf,LIC007,Home & Garden,ORDER_UNPLACED
SN000266,,Wayfair Bookshelf,LIC007,Home & Garden,ORDER_UNPLACED
SN000267,,Wayfair Bookshelf,LIC007,Home & Garden,ORDER_UNPLACED
SN000268,,Wayfair Bookshelf,LIC007,Home & Garden,ORDER_UNPLACED
SN000269,,Wayfair Bookshelf,LIC007,Home & Garden,ORDER_UNPLACED
SN000270,,Wayfair Bookshelf,LIC007,Home & Garden,ORDER_UNPLACED
SN000271,,Casper Mattress,LIC008,Home & Garden,ORDER_UNPLACED
SN000272,,Casper Mattress,LIC008,Home & Garden,ORDER_UNPLACED
SN000273,,Casper Mattress,LIC008,Home & Garden,ORDER_UNPLACED
SN000274,,Casper Mattress,LIC008,Home & Garden,ORDER_UNPLACED
SN000275,,Casper Mattress,LIC008,Home & Garden,ORDER_UNPLACED
SN000276,,Casper Mattress,LIC008,Home & Garden,ORDER_UNPLACED
SN000277,,Casper Mattress,LIC008,Home & Garden,ORDER_UNPLACED
SN000278,,Casper Mattress,LIC008,Home & Garden,ORDER_UNPLACED
SN000279,,Casper Mattress,LIC008,Home & Garden,ORDER_UNPLACED
SN000280,,Casper Mattress,LIC008,Home & Garden,ORDER_UNPLACED
SN000281,,Eureka Vacuum,LIC009,Home & Garden,ORDER_UNPLACED
SN000282,,Eureka Vacuum,LIC009,Home & Garden,ORDER_UNPLACED
SN000283,,Eureka Vacuum,LIC009,Home & Garden,ORDER_UNPLACED
SN000284,,Eureka Vacuum,LIC009,Home & Garden,ORDER_UNPLACED
SN000285,,Eureka Vacuum,LIC009,Home & Garden,ORDER_UNPLACED
SN000286,,Eureka Vacuum,LIC009,Home & Garden,ORDER_UNPLACED
SN000287,,Eureka Vacuum,LIC009,Home & Garden,ORDER_UNPLACED
SN000288,,Eureka Vacuum,LIC009,Home & Garden,ORDER_UNPLACED
SN000289,,Eureka Vacuum,LIC009,Home & Garden,ORDER_UNPLACED
SN000290,,Eureka Vacuum,LIC009,Home & Garden,ORDER_UNPLACED
SN000291,,Sun Joe Lawn Mower,LIC010,Home & Garden,ORDER_UNPLACED
SN000292,,Sun Joe Lawn Mower,LIC010,Home & Garden,ORDER_UNPLACED
SN000293,,Sun Joe Lawn Mower,LIC010,Home & Garden,ORDER_UNPLACED
SN000294,,Sun Joe Lawn Mower,LIC010,Home & Garden,ORDER_UNPLACED
SN000295,,Sun Joe Lawn Mower,LIC010,Home & Garden,ORDER_UNPLACED
SN000296,,Sun Joe Lawn Mower,LIC010,Home & Garden,ORDER_UNPLACED
SN000297,,Sun Joe Lawn Mower,LIC010,Home & Garden,ORDER_UNPLACED
SN000298,,Sun Joe Lawn Mower,LIC010,Home & Garden,ORDER_UNPLACED
SN000299,,Sun Joe Lawn Mower,LIC010,Home & Garden,ORDER_UNPLACED
SN000300,,Sun Joe Lawn Mower,LIC010,Home & Garden,ORDER_UNPLACED
SN000301,,Home Depot Tool Set,LIC011,Home & Garden,ORDER_UNPLACED
SN000302,,Home Depot Tool Set,LIC011,Home & Garden,ORDER_UNPLACED
SN000303,,Home Depot Tool Set,LIC011,Home & Garden,ORDER_UNPLACED
SN000304,,Home Depot Tool Set,LIC011,Home & Garden,ORDER_UNPLACED
SN000305,,Home Depot Tool Set,LIC011,Home & Garden,ORDER_UNPLACED
SN000306,,Home Depot Tool Set,LIC011,Home & Garden,ORDER_UNPLACED
SN000307,,Home Depot Tool Set,LIC011,Home & Garden,ORDER_UNPLACED
SN000308,,Home Depot Tool Set,LIC011,Home & Garden,ORDER_UNPLACED
SN000309,,Home Depot Tool Set,LIC011,Home & Garden,ORDER_UNPLACED
SN000310,,Home Depot Tool Set,LIC011,Home & Garden,ORDER_UNPLACED
SN000311,,The Great Gatsby,LIC012,Books,ORDER_UNPLACED
SN000312,,The Great Gatsby,LIC012,Books,ORDER_UNPLACED
SN000313,,The Great Gatsby,LIC012,Books,ORDER_UNPLACED
SN000314,,The Great Gatsby,LIC012,Books,ORDER_UNPLACED
SN000315,,The Great Gatsby,LIC012,Books,ORDER_UNPLACED
SN000316,,The Great Gatsby,LIC012,Books,ORDER_UNPLACED
SN000317,,The Great Gatsby,LIC012,Books,ORDER_UNPLACED
SN000318,,The Great Gatsby,LIC012,Books,ORDER_UNPLACED
SN000319,,The Great Gatsby,LIC012,Books,ORDER_UNPLACED
SN000320,,The Great Gatsby,LIC012,Books,ORDER_UNPLACED
SN000321,,To Kill a Mockingbird,LIC013,Books,ORDER_UNPLACED
SN000322,,To Kill a Mockingbird,LIC013,Books,ORDER_UNPLACED
SN000323,,To Kill a Mockingbird,LIC013,Books,ORDER_UNPLACED
